Environment,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1
193,32.0,31.0,26.0,319.0,186.0,22.0,112.0,212.0,130.0,114.0,254.0,36.0,10.0,113.0,22.0,23.0,316.0,96.0,135.0,500.0,90.0,40.0,26.0,80.0,9.0,500.0,377.0,33.0,147.0,10.0,92.0,500.0,9.0,10.0,187.0,18.0,114.0,10.0,9.0,500.0,137.0,206.0,33.0,9.0,32.0,226.0,240.0,162.0,327.0,194.0
194,45.0,31.0,27.0,500.0,499.0,58.0,178.0,500.0,127.0,137.0,230.0,47.0,10.0,115.0,21.0,26.0,328.0,56.0,122.0,500.0,289.0,30.0,20.0,272.0,9.0,500.0,435.0,23.0,147.0,10.0,61.0,500.0,9.0,15.0,199.0,49.0,296.0,10.0,14.0,500.0,132.0,233.0,64.0,9.0,61.0,208.0,135.0,492.0,233.0,177.0
195,68.0,30.0,26.0,500.0,500.0,88.0,249.0,233.0,127.0,123.0,96.0,40.0,10.0,112.0,25.0,64.0,301.0,118.0,196.0,272.0,330.0,18.0,24.0,151.0,9.0,500.0,493.0,29.0,387.0,10.0,80.0,400.0,9.0,10.0,194.0,23.0,239.0,10.0,10.0,500.0,129.0,366.0,21.0,9.0,14.0,194.0,154.0,199.0,241.0,170.0
196,20.0,30.0,27.0,500.0,426.0,57.0,96.0,177.0,127.0,93.0,270.0,70.0,10.0,124.0,23.0,18.0,304.0,106.0,168.0,473.0,500.0,37.0,21.0,278.0,9.0,500.0,500.0,14.0,193.0,11.0,123.0,397.0,9.0,10.0,188.0,47.0,199.0,10.0,15.0,413.0,127.0,180.0,180.0,9.0,44.0,208.0,138.0,208.0,286.0,167.0
197,70.0,32.0,27.0,500.0,500.0,36.0,237.0,191.0,83.0,68.0,297.0,18.0,10.0,107.0,23.0,53.0,271.0,138.0,108.0,500.0,270.0,36.0,22.0,119.0,9.0,500.0,500.0,17.0,208.0,10.0,84.0,500.0,9.0,14.0,207.0,36.0,161.0,10.0,17.0,500.0,123.0,447.0,13.0,9.0,22.0,208.0,202.0,281.0,289.0,171.0
198,63.0,30.0,27.0,500.0,500.0,28.0,304.0,284.0,116.0,105.0,261.0,32.0,10.0,129.0,25.0,16.0,322.0,293.0,135.0,500.0,184.0,50.0,23.0,161.0,9.0,500.0,500.0,35.0,243.0,14.0,63.0,500.0,9.0,12.0,190.0,22.0,228.0,10.0,14.0,500.0,119.0,225.0,28.0,9.0,20.0,220.0,86.0,500.0,320.0,215.0
199,29.0,30.0,27.0,500.0,500.0,173.0,182.0,161.0,71.0,47.0,408.0,43.0,10.0,109.0,26.0,12.0,331.0,171.0,197.0,500.0,175.0,56.0,22.0,207.0,9.0,500.0,500.0,23.0,257.0,18.0,78.0,500.0,9.0,10.0,186.0,15.0,117.0,10.0,19.0,500.0,116.0,500.0,24.0,9.0,30.0,203.0,43.0,76.0,232.0,151.0
200,19.0,31.0,27.0,500.0,189.0,48.0,69.0,201.0,71.0,98.0,286.0,36.0,10.0,134.0,22.0,18.0,307.0,161.0,157.0,265.0,500.0,41.0,21.0,347.0,9.0,500.0,500.0,123.0,245.0,12.0,54.0,500.0,9.0,10.0,201.0,103.0,456.0,10.0,13.0,500.0,116.0,500.0,101.0,9.0,40.0,210.0,85.0,500.0,253.0,152.0
201,28.0,32.0,26.0,500.0,500.0,49.0,268.0,245.0,71.0,132.0,152.0,53.0,10.0,125.0,26.0,23.0,328.0,372.0,202.0,251.0,243.0,62.0,23.0,158.0,9.0,500.0,500.0,11.0,173.0,12.0,157.0,500.0,9.0,10.0,208.0,15.0,59.0,10.0,12.0,500.0,110.0,500.0,22.0,9.0,35.0,191.0,170.0,253.0,246.0,197.0
202,58.0,32.0,29.0,500.0,500.0,52.0,287.0,199.0,64.0,132.0,287.0,52.0,10.0,136.0,22.0,19.0,303.0,236.0,240.0,500.0,387.0,22.0,21.0,269.0,9.0,500.0,500.0,53.0,381.0,12.0,59.0,500.0,9.0,10.0,207.0,11.0,183.0,10.0,12.0,409.0,107.0,500.0,28.0,9.0,36.0,200.0,128.0,261.0,197.0,170.0
203,48.0,31.0,27.0,500.0,484.0,36.0,131.0,159.0,59.0,52.0,214.0,35.0,10.0,123.0,25.0,41.0,322.0,137.0,116.0,500.0,399.0,76.0,17.0,206.0,9.0,500.0,500.0,40.0,222.0,29.0,19.0,500.0,9.0,10.0,203.0,28.0,94.0,10.0,9.0,500.0,108.0,225.0,82.0,9.0,18.0,179.0,281.0,295.0,232.0,127.0
204,38.0,30.0,27.0,500.0,500.0,49.0,197.0,152.0,58.0,257.0,242.0,13.0,10.0,154.0,25.0,46.0,310.0,177.0,132.0,500.0,500.0,42.0,21.0,194.0,9.0,500.0,500.0,117.0,288.0,47.0,83.0,500.0,9.0,12.0,204.0,31.0,152.0,10.0,10.0,495.0,17.0,439.0,76.0,9.0,24.0,178.0,165.0,169.0,277.0,142.0
205,12.0,32.0,27.0,500.0,203.0,25.0,222.0,163.0,58.0,107.0,227.0,58.0,10.0,169.0,25.0,24.0,294.0,226.0,143.0,500.0,205.0,83.0,20.0,284.0,9.0,500.0,500.0,26.0,291.0,47.0,27.0,500.0,9.0,10.0,206.0,26.0,85.0,10.0,12.0,214.0,95.0,233.0,55.0,9.0,32.0,171.0,248.0,231.0,392.0,146.0
206,190.0,33.0,26.0,500.0,210.0,161.0,463.0,141.0,58.0,152.0,129.0,24.0,10.0,151.0,24.0,39.0,321.0,85.0,175.0,500.0,356.0,51.0,22.0,275.0,9.0,500.0,500.0,38.0,322.0,98.0,211.0,500.0,9.0,10.0,207.0,44.0,274.0,10.0,15.0,375.0,96.0,500.0,110.0,9.0,28.0,166.0,106.0,308.0,260.0,130.0
207,22.0,34.0,27.0,500.0,212.0,43.0,75.0,187.0,58.0,178.0,262.0,111.0,10.0,156.0,24.0,30.0,346.0,226.0,172.0,500.0,500.0,17.0,22.0,150.0,9.0,500.0,500.0,13.0,309.0,109.0,130.0,500.0,9.0,10.0,211.0,22.0,126.0,10.0,11.0,500.0,95.0,461.0,70.0,9.0,10.0,155.0,246.0,500.0,233.0,114.0
208,28.0,33.0,27.0,500.0,163.0,41.0,69.0,221.0,58.0,88.0,166.0,74.0,10.0,181.0,28.0,29.0,323.0,136.0,267.0,177.0,161.0,77.0,21.0,257.0,9.0,500.0,500.0,43.0,356.0,54.0,47.0,500.0,10.0,11.0,222.0,14.0,134.0,10.0,15.0,294.0,90.0,451.0,65.0,9.0,18.0,158.0,286.0,196.0,224.0,152.0
209,52.0,38.0,27.0,500.0,500.0,50.0,219.0,211.0,51.0,106.0,126.0,102.0,10.0,242.0,22.0,63.0,362.0,130.0,259.0,500.0,500.0,20.0,21.0,311.0,9.0,500.0,500.0,23.0,254.0,94.0,50.0,500.0,9.0,14.0,217.0,45.0,59.0,10.0,23.0,352.0,89.0,219.0,107.0,9.0,16.0,168.0,153.0,500.0,216.0,102.0
210,109.0,36.0,27.0,500.0,500.0,48.0,280.0,176.0,58.0,101.0,151.0,96.0,10.0,349.0,22.0,40.0,418.0,155.0,307.0,500.0,497.0,17.0,20.0,259.0,9.0,500.0,500.0,20.0,281.0,59.0,51.0,500.0,9.0,10.0,231.0,25.0,112.0,10.0,29.0,468.0,22.0,349.0,59.0,9.0,62.0,176.0,225.0,256.0,366.0,149.0
211,25.0,39.0,29.0,500.0,328.0,48.0,387.0,301.0,58.0,60.0,109.0,88.0,10.0,500.0,24.0,34.0,395.0,207.0,316.0,500.0,379.0,19.0,16.0,185.0,9.0,500.0,500.0,28.0,265.0,63.0,44.0,500.0,9.0,10.0,223.0,24.0,147.0,10.0,9.0,500.0,16.0,406.0,29.0,9.0,37.0,183.0,298.0,500.0,165.0,167.0
212,152.0,43.0,27.0,500.0,500.0,35.0,291.0,500.0,58.0,84.0,223.0,43.0,10.0,500.0,20.0,65.0,465.0,176.0,215.0,500.0,500.0,94.0,19.0,225.0,9.0,500.0,500.0,28.0,492.0,75.0,94.0,500.0,9.0,10.0,226.0,29.0,62.0,10.0,9.0,470.0,86.0,500.0,13.0,9.0,34.0,209.0,126.0,500.0,296.0,131.0
213,97.0,46.0,27.0,500.0,142.0,43.0,241.0,158.0,58.0,118.0,228.0,37.0,10.0,500.0,22.0,37.0,500.0,144.0,257.0,500.0,500.0,44.0,20.0,226.0,9.0,500.0,500.0,25.0,334.0,69.0,54.0,500.0,9.0,10.0,249.0,20.0,98.0,10.0,14.0,297.0,87.0,500.0,157.0,9.0,21.0,219.0,202.0,500.0,339.0,123.0
214,110.0,48.0,26.0,500.0,410.0,44.0,340.0,355.0,59.0,151.0,127.0,40.0,10.0,500.0,22.0,20.0,487.0,155.0,216.0,330.0,500.0,79.0,19.0,385.0,9.0,500.0,500.0,62.0,321.0,52.0,81.0,500.0,11.0,9.0,251.0,15.0,173.0,10.0,13.0,336.0,102.0,500.0,53.0,9.0,25.0,254.0,163.0,500.0,233.0,80.0
215,89.0,50.0,27.0,500.0,500.0,108.0,243.0,432.0,58.0,108.0,110.0,62.0,10.0,500.0,20.0,29.0,500.0,132.0,173.0,500.0,326.0,27.0,21.0,230.0,9.0,500.0,500.0,92.0,184.0,42.0,60.0,500.0,9.0,10.0,250.0,27.0,172.0,10.0,13.0,284.0,105.0,385.0,31.0,9.0,22.0,296.0,117.0,89.0,287.0,108.0
216,50.0,60.0,26.0,500.0,202.0,23.0,270.0,376.0,61.0,145.0,268.0,89.0,10.0,500.0,14.0,30.0,500.0,190.0,361.0,500.0,450.0,23.0,21.0,260.0,9.0,500.0,500.0,37.0,341.0,36.0,35.0,500.0,9.0,10.0,268.0,32.0,144.0,10.0,32.0,285.0,102.0,500.0,43.0,9.0,27.0,336.0,212.0,201.0,261.0,105.0
217,144.0,51.0,27.0,500.0,419.0,47.0,353.0,500.0,68.0,67.0,169.0,63.0,10.0,500.0,17.0,35.0,500.0,256.0,225.0,500.0,500.0,184.0,19.0,134.0,9.0,500.0,500.0,18.0,238.0,41.0,59.0,500.0,9.0,10.0,282.0,42.0,136.0,10.0,12.0,238.0,104.0,369.0,65.0,9.0,33.0,462.0,164.0,500.0,276.0,145.0
218,26.0,60.0,27.0,500.0,279.0,49.0,215.0,148.0,68.0,157.0,139.0,38.0,10.0,500.0,12.0,73.0,500.0,134.0,216.0,300.0,190.0,40.0,19.0,215.0,9.0,500.0,500.0,92.0,275.0,66.0,31.0,500.0,9.0,10.0,291.0,37.0,119.0,10.0,20.0,342.0,112.0,500.0,111.0,9.0,28.0,500.0,90.0,138.0,367.0,140.0
219,39.0,69.0,29.0,500.0,500.0,83.0,258.0,482.0,71.0,152.0,132.0,52.0,10.0,500.0,16.0,16.0,500.0,181.0,179.0,323.0,460.0,46.0,18.0,385.0,9.0,500.0,500.0,30.0,248.0,90.0,145.0,500.0,9.0,10.0,300.0,23.0,218.0,10.0,12.0,307.0,116.0,500.0,63.0,9.0,42.0,500.0,209.0,500.0,372.0,130.0
220,33.0,64.0,26.0,500.0,265.0,62.0,248.0,276.0,71.0,88.0,180.0,31.0,10.0,500.0,14.0,49.0,500.0,191.0,200.0,500.0,500.0,29.0,16.0,181.0,9.0,500.0,500.0,48.0,328.0,93.0,30.0,500.0,9.0,10.0,322.0,15.0,275.0,10.0,17.0,303.0,129.0,500.0,53.0,9.0,21.0,500.0,203.0,500.0,412.0,134.0
221,41.0,78.0,29.0,500.0,473.0,22.0,224.0,185.0,71.0,231.0,135.0,29.0,10.0,500.0,11.0,13.0,453.0,171.0,96.0,500.0,304.0,41.0,19.0,305.0,9.0,500.0,500.0,35.0,197.0,100.0,87.0,500.0,9.0,15.0,337.0,19.0,91.0,10.0,18.0,362.0,133.0,500.0,99.0,9.0,37.0,500.0,420.0,500.0,271.0,134.0
222,35.0,69.0,26.0,500.0,500.0,30.0,324.0,500.0,71.0,166.0,135.0,21.0,10.0,500.0,13.0,51.0,404.0,242.0,150.0,500.0,166.0,64.0,18.0,95.0,9.0,500.0,500.0,38.0,265.0,106.0,59.0,500.0,9.0,12.0,322.0,23.0,262.0,10.0,19.0,500.0,136.0,500.0,130.0,9.0,22.0,500.0,38.0,500.0,285.0,146.0
223,61.0,90.0,27.0,500.0,500.0,98.0,253.0,219.0,71.0,218.0,100.0,35.0,10.0,418.0,12.0,44.0,401.0,161.0,199.0,500.0,500.0,44.0,17.0,300.0,9.0,500.0,500.0,46.0,327.0,114.0,45.0,500.0,9.0,9.0,347.0,35.0,243.0,10.0,12.0,386.0,139.0,500.0,48.0,9.0,34.0,500.0,263.0,500.0,257.0,136.0
224,42.0,143.0,27.0,500.0,500.0,45.0,426.0,105.0,111.0,231.0,96.0,33.0,10.0,408.0,12.0,39.0,411.0,256.0,70.0,500.0,500.0,41.0,17.0,271.0,9.0,500.0,500.0,30.0,340.0,162.0,25.0,500.0,9.0,12.0,373.0,60.0,185.0,10.0,16.0,366.0,142.0,327.0,79.0,9.0,62.0,500.0,79.0,500.0,284.0,109.0
225,33.0,130.0,27.0,500.0,167.0,117.0,386.0,477.0,111.0,118.0,123.0,78.0,10.0,330.0,12.0,52.0,366.0,249.0,129.0,198.0,500.0,82.0,17.0,500.0,9.0,500.0,500.0,66.0,224.0,164.0,63.0,500.0,9.0,10.0,378.0,14.0,130.0,10.0,17.0,500.0,150.0,500.0,125.0,9.0,71.0,500.0,193.0,500.0,334.0,165.0
226,77.0,150.0,27.0,500.0,329.0,40.0,500.0,164.0,108.0,239.0,97.0,21.0,10.0,413.0,11.0,45.0,395.0,167.0,93.0,500.0,138.0,57.0,19.0,123.0,9.0,500.0,500.0,56.0,235.0,109.0,82.0,320.0,9.0,10.0,389.0,45.0,319.0,10.0,21.0,322.0,149.0,500.0,95.0,9.0,27.0,500.0,308.0,500.0,345.0,150.0
227,27.0,135.0,26.0,500.0,500.0,63.0,470.0,451.0,111.0,236.0,202.0,105.0,10.0,500.0,12.0,13.0,349.0,288.0,164.0,500.0,349.0,34.0,18.0,262.0,9.0,500.0,500.0,19.0,352.0,150.0,24.0,500.0,9.0,10.0,443.0,21.0,192.0,10.0,13.0,412.0,153.0,500.0,80.0,9.0,36.0,500.0,113.0,500.0,389.0,28.0
228,52.0,91.0,29.0,500.0,224.0,26.0,86.0,500.0,111.0,148.0,129.0,26.0,10.0,500.0,12.0,31.0,370.0,259.0,197.0,363.0,500.0,66.0,17.0,375.0,9.0,500.0,500.0,18.0,250.0,138.0,39.0,500.0,9.0,10.0,467.0,67.0,164.0,10.0,23.0,476.0,158.0,500.0,141.0,9.0,20.0,500.0,500.0,500.0,387.0,164.0
229,23.0,86.0,27.0,500.0,409.0,35.0,352.0,264.0,111.0,122.0,99.0,25.0,10.0,500.0,13.0,20.0,366.0,226.0,162.0,479.0,215.0,89.0,17.0,123.0,9.0,500.0,500.0,57.0,228.0,163.0,83.0,144.0,9.0,10.0,488.0,16.0,128.0,10.0,55.0,436.0,160.0,479.0,62.0,9.0,31.0,500.0,168.0,500.0,281.0,122.0
230,45.0,89.0,30.0,500.0,500.0,45.0,500.0,283.0,111.0,92.0,122.0,28.0,10.0,500.0,12.0,18.0,386.0,237.0,264.0,476.0,500.0,102.0,16.0,256.0,9.0,500.0,500.0,31.0,500.0,283.0,118.0,500.0,10.0,9.0,500.0,43.0,159.0,10.0,13.0,433.0,157.0,500.0,111.0,9.0,22.0,500.0,47.0,500.0,326.0,171.0
231,42.0,69.0,29.0,500.0,500.0,73.0,412.0,278.0,111.0,57.0,135.0,22.0,10.0,500.0,13.0,19.0,347.0,228.0,158.0,423.0,354.0,33.0,16.0,500.0,9.0,500.0,500.0,81.0,164.0,144.0,190.0,500.0,9.0,12.0,500.0,69.0,163.0,10.0,14.0,500.0,161.0,500.0,38.0,9.0,42.0,500.0,181.0,500.0,396.0,153.0
232,59.0,76.0,32.0,500.0,344.0,21.0,480.0,114.0,111.0,195.0,86.0,121.0,10.0,500.0,13.0,52.0,344.0,36.0,253.0,500.0,123.0,44.0,17.0,301.0,9.0,500.0,500.0,29.0,250.0,444.0,119.0,500.0,9.0,12.0,500.0,17.0,172.0,10.0,21.0,500.0,161.0,500.0,43.0,9.0,9.0,500.0,439.0,500.0,379.0,180.0
233,44.0,72.0,30.0,500.0,381.0,33.0,500.0,302.0,114.0,198.0,102.0,60.0,10.0,500.0,13.0,39.0,359.0,151.0,181.0,276.0,500.0,33.0,16.0,234.0,9.0,500.0,500.0,32.0,367.0,205.0,45.0,500.0,9.0,11.0,500.0,34.0,209.0,10.0,34.0,500.0,161.0,209.0,23.0,9.0,32.0,500.0,255.0,500.0,405.0,166.0
234,34.0,74.0,31.0,500.0,500.0,44.0,481.0,126.0,111.0,238.0,189.0,69.0,10.0,500.0,14.0,42.0,363.0,181.0,332.0,230.0,500.0,60.0,16.0,392.0,9.0,500.0,500.0,33.0,296.0,266.0,118.0,500.0,9.0,14.0,500.0,18.0,94.0,10.0,17.0,500.0,162.0,273.0,30.0,9.0,41.0,500.0,284.0,500.0,455.0,160.0
235,56.0,66.0,36.0,500.0,500.0,34.0,500.0,223.0,111.0,113.0,220.0,46.0,10.0,500.0,16.0,47.0,354.0,113.0,168.0,425.0,500.0,23.0,16.0,235.0,9.0,500.0,500.0,25.0,208.0,500.0,86.0,500.0,9.0,12.0,500.0,84.0,54.0,10.0,62.0,500.0,162.0,500.0,26.0,9.0,29.0,500.0,130.0,500.0,338.0,170.0
236,76.0,67.0,36.0,500.0,307.0,30.0,500.0,490.0,111.0,140.0,176.0,80.0,10.0,500.0,14.0,56.0,350.0,237.0,117.0,425.0,500.0,63.0,16.0,348.0,9.0,500.0,500.0,80.0,305.0,216.0,61.0,500.0,9.0,10.0,500.0,17.0,159.0,10.0,68.0,500.0,164.0,285.0,148.0,9.0,21.0,500.0,94.0,463.0,249.0,152.0
237,26.0,64.0,33.0,500.0,500.0,51.0,500.0,243.0,111.0,47.0,117.0,44.0,12.0,500.0,16.0,58.0,307.0,320.0,252.0,349.0,105.0,37.0,17.0,351.0,9.0,500.0,500.0,60.0,195.0,233.0,52.0,500.0,11.0,10.0,500.0,24.0,107.0,10.0,34.0,500.0,166.0,500.0,75.0,9.0,12.0,500.0,242.0,500.0,320.0,198.0
238,104.0,61.0,39.0,281.0,231.0,70.0,500.0,334.0,111.0,122.0,105.0,60.0,10.0,500.0,13.0,101.0,284.0,312.0,82.0,243.0,158.0,69.0,16.0,221.0,9.0,500.0,500.0,86.0,314.0,175.0,284.0,500.0,9.0,10.0,489.0,63.0,84.0,10.0,14.0,500.0,166.0,426.0,101.0,9.0,31.0,500.0,64.0,380.0,400.0,137.0
239,125.0,62.0,40.0,362.0,393.0,55.0,500.0,112.0,111.0,185.0,109.0,22.0,10.0,500.0,14.0,31.0,289.0,283.0,181.0,468.0,500.0,69.0,15.0,216.0,9.0,500.0,500.0,32.0,211.0,91.0,36.0,500.0,9.0,12.0,500.0,30.0,200.0,10.0,61.0,500.0,168.0,318.0,195.0,9.0,23.0,500.0,265.0,358.0,331.0,26.0
240,117.0,53.0,44.0,500.0,281.0,39.0,338.0,500.0,110.0,103.0,108.0,73.0,10.0,500.0,14.0,51.0,248.0,199.0,189.0,413.0,350.0,76.0,18.0,367.0,9.0,500.0,500.0,33.0,454.0,214.0,67.0,500.0,9.0,21.0,437.0,24.0,301.0,10.0,75.0,500.0,168.0,459.0,21.0,9.0,38.0,500.0,117.0,476.0,437.0,35.0
241,52.0,56.0,43.0,371.0,500.0,48.0,473.0,380.0,110.0,249.0,111.0,62.0,10.0,271.0,13.0,23.0,230.0,294.0,94.0,194.0,500.0,20.0,17.0,247.0,9.0,500.0,500.0,31.0,192.0,293.0,77.0,402.0,9.0,21.0,418.0,32.0,170.0,10.0,33.0,500.0,173.0,382.0,26.0,9.0,37.0,500.0,243.0,386.0,500.0,26.0
242,32.0,50.0,51.0,500.0,496.0,36.0,430.0,500.0,110.0,48.0,241.0,29.0,10.0,445.0,16.0,41.0,210.0,500.0,101.0,500.0,369.0,116.0,18.0,277.0,9.0,500.0,500.0,27.0,172.0,144.0,208.0,500.0,9.0,27.0,442.0,60.0,148.0,10.0,45.0,500.0,178.0,271.0,53.0,9.0,70.0,500.0,63.0,360.0,445.0,120.0
243,46.0,58.0,41.0,500.0,155.0,35.0,132.0,500.0,105.0,47.0,149.0,116.0,10.0,373.0,14.0,39.0,188.0,290.0,212.0,500.0,500.0,49.0,18.0,259.0,9.0,500.0,500.0,26.0,247.0,395.0,98.0,500.0,9.0,13.0,428.0,70.0,114.0,10.0,39.0,500.0,180.0,500.0,60.0,9.0,36.0,500.0,171.0,392.0,475.0,70.0
244,52.0,48.0,58.0,500.0,229.0,57.0,500.0,253.0,107.0,302.0,91.0,39.0,10.0,328.0,14.0,57.0,174.0,218.0,157.0,206.0,500.0,32.0,19.0,162.0,9.0,500.0,500.0,71.0,204.0,239.0,62.0,414.0,9.0,57.0,406.0,25.0,125.0,10.0,27.0,500.0,184.0,220.0,118.0,9.0,32.0,500.0,356.0,311.0,500.0,128.0
245,32.0,49.0,45.0,500.0,316.0,26.0,500.0,340.0,108.0,54.0,129.0,17.0,10.0,445.0,13.0,51.0,158.0,428.0,164.0,350.0,500.0,63.0,20.0,140.0,9.0,500.0,500.0,65.0,413.0,324.0,26.0,500.0,9.0,51.0,419.0,21.0,310.0,10.0,78.0,204.0,190.0,500.0,64.0,9.0,36.0,500.0,177.0,394.0,417.0,39.0
246,33.0,49.0,52.0,500.0,430.0,51.0,226.0,440.0,105.0,219.0,212.0,34.0,10.0,239.0,14.0,39.0,140.0,317.0,240.0,412.0,333.0,70.0,19.0,215.0,9.0,500.0,500.0,73.0,308.0,500.0,22.0,317.0,9.0,97.0,444.0,42.0,168.0,10.0,71.0,500.0,192.0,463.0,134.0,9.0,23.0,149.0,243.0,353.0,500.0,30.0
247,23.0,56.0,40.0,500.0,238.0,86.0,488.0,461.0,105.0,136.0,161.0,76.0,10.0,421.0,16.0,18.0,134.0,222.0,241.0,367.0,500.0,45.0,18.0,176.0,9.0,500.0,500.0,17.0,153.0,355.0,73.0,368.0,9.0,50.0,409.0,14.0,80.0,10.0,90.0,500.0,196.0,272.0,95.0,9.0,15.0,500.0,208.0,337.0,295.0,130.0
248,25.0,55.0,46.0,500.0,500.0,45.0,315.0,423.0,106.0,169.0,109.0,29.0,10.0,406.0,14.0,37.0,123.0,224.0,173.0,294.0,281.0,81.0,16.0,500.0,9.0,500.0,500.0,21.0,169.0,181.0,83.0,361.0,10.0,58.0,413.0,50.0,108.0,10.0,134.0,500.0,213.0,236.0,245.0,9.0,17.0,500.0,199.0,283.0,500.0,61.0
249,94.0,51.0,43.0,500.0,500.0,15.0,212.0,252.0,104.0,173.0,104.0,40.0,10.0,500.0,14.0,16.0,125.0,219.0,175.0,480.0,500.0,55.0,21.0,299.0,9.0,500.0,49.0,34.0,368.0,280.0,49.0,399.0,9.0,122.0,372.0,16.0,124.0,10.0,34.0,286.0,222.0,242.0,101.0,9.0,25.0,500.0,401.0,329.0,500.0,28.0
250,131.0,53.0,39.0,500.0,472.0,41.0,279.0,355.0,104.0,173.0,212.0,153.0,10.0,500.0,15.0,43.0,105.0,238.0,196.0,275.0,476.0,21.0,18.0,365.0,9.0,500.0,500.0,36.0,139.0,500.0,114.0,379.0,9.0,127.0,400.0,19.0,148.0,10.0,27.0,500.0,231.0,500.0,36.0,9.0,71.0,500.0,140.0,401.0,500.0,28.0
251,72.0,49.0,32.0,500.0,500.0,114.0,382.0,287.0,104.0,134.0,185.0,31.0,10.0,412.0,14.0,38.0,82.0,315.0,124.0,500.0,219.0,105.0,21.0,335.0,9.0,500.0,500.0,87.0,204.0,500.0,285.0,295.0,9.0,126.0,373.0,47.0,236.0,10.0,46.0,500.0,251.0,343.0,71.0,9.0,30.0,500.0,99.0,366.0,500.0,27.0
252,100.0,49.0,36.0,500.0,214.0,66.0,413.0,432.0,104.0,227.0,107.0,124.0,10.0,404.0,16.0,59.0,73.0,183.0,197.0,474.0,500.0,52.0,18.0,205.0,9.0,500.0,500.0,16.0,216.0,500.0,29.0,224.0,9.0,138.0,397.0,36.0,115.0,10.0,37.0,500.0,269.0,324.0,120.0,9.0,56.0,500.0,154.0,310.0,309.0,68.0
253,72.0,46.0,36.0,500.0,500.0,38.0,390.0,376.0,104.0,343.0,109.0,45.0,10.0,500.0,16.0,30.0,75.0,500.0,170.0,494.0,467.0,63.0,19.0,181.0,9.0,500.0,500.0,45.0,246.0,500.0,40.0,235.0,9.0,232.0,351.0,28.0,275.0,10.0,62.0,500.0,292.0,500.0,210.0,9.0,18.0,500.0,104.0,426.0,420.0,22.0
254,64.0,46.0,36.0,500.0,500.0,25.0,287.0,315.0,104.0,218.0,109.0,35.0,10.0,500.0,16.0,39.0,60.0,233.0,155.0,455.0,500.0,50.0,19.0,305.0,9.0,500.0,500.0,30.0,204.0,500.0,107.0,239.0,10.0,106.0,343.0,16.0,323.0,10.0,81.0,500.0,304.0,261.0,175.0,9.0,14.0,500.0,215.0,438.0,500.0,106.0
255,34.0,44.0,33.0,500.0,315.0,67.0,187.0,311.0,104.0,217.0,147.0,40.0,10.0,500.0,15.0,25.0,44.0,284.0,204.0,500.0,362.0,153.0,19.0,205.0,9.0,500.0,439.0,104.0,500.0,500.0,141.0,206.0,9.0,104.0,391.0,70.0,268.0,10.0,93.0,500.0,322.0,317.0,45.0,9.0,13.0,500.0,62.0,353.0,500.0,27.0
256,38.0,46.0,33.0,500.0,500.0,25.0,432.0,316.0,104.0,339.0,131.0,34.0,10.0,500.0,17.0,26.0,35.0,261.0,287.0,345.0,355.0,112.0,19.0,248.0,9.0,500.0,320.0,61.0,234.0,500.0,179.0,148.0,9.0,145.0,359.0,13.0,314.0,10.0,118.0,500.0,354.0,308.0,33.0,9.0,38.0,500.0,69.0,481.0,404.0,151.0
257,72.0,44.0,35.0,500.0,500.0,49.0,221.0,205.0,104.0,285.0,115.0,54.0,10.0,500.0,16.0,44.0,27.0,259.0,111.0,500.0,350.0,32.0,21.0,144.0,9.0,500.0,500.0,158.0,198.0,500.0,60.0,225.0,10.0,174.0,367.0,20.0,248.0,10.0,84.0,500.0,385.0,326.0,42.0,9.0,27.0,500.0,260.0,500.0,262.0,35.0
258,46.0,47.0,36.0,500.0,500.0,69.0,223.0,402.0,102.0,323.0,210.0,26.0,10.0,500.0,18.0,56.0,16.0,263.0,311.0,500.0,188.0,30.0,19.0,236.0,9.0,500.0,500.0,27.0,298.0,500.0,206.0,197.0,9.0,148.0,339.0,51.0,141.0,10.0,108.0,447.0,407.0,415.0,88.0,9.0,20.0,500.0,101.0,470.0,500.0,206.0
259,52.0,42.0,37.0,500.0,241.0,40.0,354.0,309.0,104.0,200.0,108.0,31.0,10.0,500.0,17.0,17.0,19.0,497.0,305.0,500.0,234.0,22.0,20.0,194.0,9.0,500.0,500.0,41.0,163.0,500.0,67.0,198.0,9.0,163.0,350.0,25.0,153.0,10.0,99.0,500.0,462.0,363.0,119.0,9.0,27.0,500.0,140.0,500.0,500.0,19.0
